Title,Abstract,Authors,Year,Venue,DOI,Cited by,Actions
"Research on Graphic User Interface Automation Testing Technology Based on Cloud Platform","As the soul of computer, software has more and more important influence on human beings. GUI (Graphical User Interface) technology is widely used because of its friendly interface and easy operation. It is an important part of software nowadays. No matter what kind of software, from requirement analysis to detailed code design stage, we need to use excellent testing technology to lay the foundation for the smooth development of software. Software testing technology has become an important branch affecting the development of software industry. Especially in the regression test conducted in the later stage of the test, it is necessary to verify whether the previously discovered problem is solved in the new version. Automating software testing can make a large number of tests programmatically repeated. Not only does it save a lot of labor, but it also improves test efficiency and guarantees the quality of the test. This paper proposes a graphical user interface automation test technology for cloud platforms, which provides assurance for testers to easily create and flexibly maintain test code.","Xin Liu","2019","Journal of Physics: Conference Series","10.1088/1742-6596/1345/5/052082","-","Include"
"Exploratory testing: Do contextual factors influence software fault identification?","Abstract Context: Exploratory Testing (ET) is a manual approach to software testing in which learning, test design and test execution occurs simultaneously. Still a developing topic of interest to academia, although as yet insufficiently investigated, most studies focus on the skills and experience of the individual tester. However, contextual factors such as project processes, test scope and organisational boundaries are also likely to affect the approach. Objective: This study explores contextual differences between teams of testers at a MedTec firm developing safety-critical products to ascertain whether contextual factors can influence the outcomes of ET, and what associated implications can be drawn for test management. Method: A development project was studied in two iterations, each consisting of a quantitative phase testing hypotheses concerning when ET would identify faults in comparison to other testing approaches and a qualitative phase involving interviews. Results: Influence on ET is traced to how the scope of tests focus learning on different types of knowledge and imply an asymmetry in the strength and number of information flows to test teams. Conclusions: While test specialisation can be attractive to software development organisations, results suggest changes to processes and organisational structures might be required to maintain test efficiency throughout projects: the responsibility for test cases might need to be rotated late in projects, and asymmetries in information flows might require management to actively strengthen the presence and connections of test teams throughout the firm. However, further research is needed to investigate whether these results also hold for non safety-critical faults.","F. Asplund","2019","Information and Software Technology","10.1016/j.infsof.2018.11.003","7","Include"
"Verification of Imaging Algorithm for Signal Processing Software within Synthetic Aperture Radar (SAR) System","In the signal processing software testing for synthetic aperture radar (SAR), the verification for algorithms is professional and has a very high proportion. However, existing methods can only perform a degree of validation for algorithms, exerting an adverse effect on the effectiveness of the software testing. This paper proposes a procedure-based approach for algorithm validation. Firstly, it describes the processing procedures of polar format algorithm (PFA) under the motion-error circumstance, based on which it analyzes the possible questions that may exist in the actual situation. By data simulation, the SAR echoes are generated flexibly and efficiently. Then, algorithm simulation is utilized to focus on the demonstrations for the approximations adopted in the algorithm. Combined with real data processing, the bugs concealed are excavated further, implementing a comprehensive validation for PFA. Simulated experiments and real data processing validate the correctness and effectiveness of the proposed algorithm.","Letian Zeng; Chunhui Yang; Mao-sheng Huang; Yue-Long Zhao","2019","Scientific Programming","10.1155/2019/7105281","3","Include"
"A Method to Assess and Argue for Practical Significance in Software Engineering","A key goal of empirical research in software engineering is to assess practical significance, which answers the question whether the observed effects of some compared treatments show a relevant difference in practice in realistic scenarios. Even though plenty of standard techniques exist to assess statistical significance, connecting it to practical significance is not straightforward or routinely done; indeed, only a few empirical studies in software engineering assess practical significance in a principled and systematic way. In this paper, we argue that Bayesian data analysis provides suitable tools to assess practical significance rigorously. We demonstrate our claims in a case study comparing different test techniques. The case study's data was previously analyzed (Afzal et al., 2015) using standard techniques focusing on statistical significance. Here, we build a multilevel model of the same data, which we fit and validate using Bayesian techniques. Our method is to apply cumulative prospect theory on top of the statistical model to quantitatively connect our statistical analysis output to a practically meaningful context. This is then the basis both for assessing and arguing for practical significance. Our study demonstrates that Bayesian analysis provides a technically rigorous yet practical framework for empirical software engineering. A substantial side effect is that any uncertainty in the underlying data will be propagated through the statistical model, and its effects on practical significance are made clear. Thus, in combination with cumulative prospect theory, Bayesian analysis supports seamlessly assessing practical significance in an empirical software engineering context, thus potentially clarifying and extending the relevance of research for practitioners.","R. Torkar; Carlo A. Furia; R. Feldt; F. D. O. Neto; Lucas Gren; Per Lenberg; Neil A. Ernst","2018","IEEE Transactions on Software Engineering","10.1109/tse.2020.3048991","21","Include"
"Arguing Practical Significance in Software Engineering Using Bayesian Data Analysis","This paper provides a case for using Bayesian data analysis (BDA) to make
more informed claims regarding practical significance of software engineering
research. We show that using BDA, here combined with cumulative prospect theory
(CPT), is appropriate when a researcher or practitioner wants to make more
explicit connections between statistical findings and practical significance in
empirical software engineering research. To illustrate our point, we provide an
example case using previously published data. We build a multilevel Bayesian
model for this data, for which we compare the out of sample predictive power.
Finally, we use our model to make out of sample predictions while, ultimately,
connecting this to practical significance using CPT. Throughout the case that
we present, we argue that a Bayesian approach is a natural, theoretically
well-grounded, practical work-flow for data analysis in empirical software
engineering. By including prior beliefs, assuming parameters are drawn from a
probability distribution, assuming the true value is a random variable for
uncertainty intervals, using counter-factual plots for sanity checks,
conducting predictive posterior checks, and out of sample predictions, we will
better understand the phenomenon being studied, while at the same time avoid
the obsession with $p$-values.","R. Torkar; R. Feldt; Carlo A. Furia","2018","arXiv.org","-","4","Include"
"Arguing Practical Significance in Empirical Software Engineering","A key goal of empirical research is assessing practical significance, which answers the question of whether the observed effects of some compared treatments show a difference that is relevant in practice in realistic scenarios. Even though plenty of standard techniques exist to assess statistical significance, connecting it to practical significance is something that is not straightforward or routinely done; indeed, only a few empirical studies in software engineering assess practical significance in a principled and systematic way. 
In this paper, we argue that Bayesian data analysis provides suitable tools to rigorously assess practical significance. We demonstrate our claims in a case study comparing different test techniques. The case study's data was previously analyzed (Afzal et al., 2015) using standard techniques focusing on statistical significance. We build a multilevel model of the same data, which we fit and validate using Bayesian techniques. By applying cumulative prospect theory on top of the statistical model, we are able to quantitatively connect the output of our statistical analysis to a practically meaningful context, thus assessing practical significance. 
Our study demonstrates that Bayesian analysis provides a technically rigorous, yet practical framework, for empirical software engineering. In combination with cumulative prospect theory, Bayesian analysis supports seamlessly assessing practical significance in an empirical software engineering context, thus potentially extending the relevance of research for practitioners.","R. Torkar; Carlo A. Furia; R. Feldt; F. D. O. Neto; Lucas Gren; Per Lenberg; Neil A. Ernst","2018","arXiv (Cornell University)","-","2","Include"
"Exploratory Testing of Large-Scale Systems - Testing in the Continuous Integration and Delivery Pipeline","-","Torvald Mårtensson; Daniel Ståhl; J. Bosch","2017","International Conference on Product Focused Software Process Improvement","10.1007/978-3-319-69926-4_26","6","Include"
"User acceptance testing for Agile-developed web-based applications: Empowering customers through wikis and mind maps","-","Itziar Otaduy; O. Díaz","2017","Journal of Systems and Software","10.1016/j.jss.2017.01.002","49","Include"
"A Novel Testing Method for Narrowband Synthetic Aperture Radar (SAR) Imaging Algorithm","Imaging algorithms are the key factors of the performances of the synthetic aperture radar (SAR) imaging. Most existing methods usually need to utilize field environment and data, which dramatically reduces the effectiveness of the software testing. This paper presents a novel testing method for narrow-band SAR imaging algorithms, which is consisted of four parts: system parameter verification, echo data simulation, algorithm simulation and real data verification, evaluations of imaging results. This scheme has fully validated the correctness and feasibility of imaging algorithms. Also, this approach greatly improves the validity of the testing work. Finally, the correctness and effectiveness of the proposed method are verified by simulation experiments and real data results.","Letian Zeng; Chunhui Yang; Yue-Long Zhao; Ping Chen; Qiang Wang","2017","International Conferences on Dependable Systems and Their Applications","10.1109/dsa.2017.19","1","Include"
"Application of Knowledge Management to the software testing process","-","D. E. Soto; Adriana X. Reyes; Jovani A. Jiménez","2017","-","-","2","Include"
"A Decision Support Method for Recommending Degrees of Exploration in Exploratory Testing","Exploratory testing is neither black nor white, but rather a continuum of exploration exists. In this research we propose an approach for decision support helping practitioners to distribute time between different degrees of exploratory testing on that continuum. To make the continuum manageable, five levels have been defined: freestyle testing, high, medium and low degrees of exploration, and scripted testing. The decision support approach is based on the repertory grid technique. The approach has been used in one company. The method for data collection was focus groups. The results showed that the proposed approach aids practitioners in the reflection of what exploratory testing levels to use, and aligns their understanding for priorities of decision criteria and the performance of exploratory testing levels in their contexts. The findings also showed that the participating company, which is currently conducting mostly scripted testing, should spend more time on testing using higher degrees of exploration in comparison to scripted testing.","A. Ghazi; K. Petersen; C. Wohlin; E. Bjarnason","2017","arXiv.org","10.48550/arxiv.1704.00994","2","Include"
"Exploratory Testing: One Size Doesn't Fit All","Exploratory testing (ET) is a powerful and efficient way of testing software by integrating design, execution, and analysis of tests during a testing session. ET is often contrasted with scripted testing, and seen as a choice between black and white. We pose that there are different levels of exploratory testing from fully exploratory to fully scripted and propose a scale for the degree of exploration for ET. The degree is defined through levels of ET, which correspond to the way test charters are formulated. We have evaluated the classification through focus groups at four companies and identified factors that influence the level of exploratory testing. The results show that the proposed ET levels have distinguishing characteristics and that the levels can be used as a guide to structure test charters. Our study also indicates that applying a combination of ET levels can be beneficial in achieving effective testing.","A. Ghazi; K. Petersen; E. Bjarnason; P. Runeson","2017","arXiv.org","10.48550/arxiv.1704.00537","2","Include"
"Impact of Education and Experience Level on the Effectiveness of Exploratory Testing: An Industrial Case Study","Exploratory Testing (ET) is a widely applied approach in practice. This approach relies on the knowledge and experience of test engineers and technicians who perform ET. Hence, we aimed at evaluating the impact of education and experience level on the effectiveness of ET. We conducted an industrial case study for this purpose. 19 practitioners, who have different educational backgrounds and experience levels, were involved in applying ET for testing a Digital TV system. We measured the number of detected failures and categorized these failures based on their severity. We evaluated effectiveness from two aspects: criticality of the detected failures and efficiency in terms of number of failures detected per unit of time. The results show that the efficiency of ET is significantly affected by both the educational background and experience. When it comes to the number of critical failures detected, we cannot observe any impact of education on results. However, experience level has a significant impact for this aspect as well.","Ceren Sahin Gebizli; Hasan Sözer","2017","International Conference on Software Testing, Verification and Validation Workshops","10.1109/icstw.2017.8","12","Include"
"Automated refinement of models for model-based testing using exploratory testing","-","Ceren Sahin Gebizli; Hasan Sözer","2016","Software quality journal","10.1007/s11219-016-9338-2","29","Include"
"Exploratory test oracle using multi-layer perceptron neural network","In the context of exploratory testing (ET), human knowledge and intelligence is applied as a test oracle. The exploratory tester designs and executes the tests on fly and compares the actual output produced by the application under test with the expected output in the testers' mind. The shortcoming of human oracle is that they are fallible, that is exploratory testers do not always detect a failure even when a test case reveals it. Depending on a human tester to evaluate program behaviour has also some problems such as cost and correctness. Therefore, in this paper an effort has been made to explore the feasibility of using a multilayer perceptron neural network (MLP-NN) as an exploratory test oracle. The MLP-NN was improved by adding another weight on each connection to perfectly generate reliable exploratory test oracles for transformed different data formats.","Wellington Makondo; R. Nallanthighal; Innocent Mapanga; Prudence Kadebu","2016","International Conference on Advances in Computing, Communications and Informatics","10.1109/icacci.2016.7732202","14","Include"
"A Research Roadmap for Test Design in Automated Integration Testing of Vehicular Systems","An increasing share of the innovations emerging in the vehicular industry are implemented in software. Consequently, vehicular electrical systems are becoming more and more complex with an increasing number of functions, computational nodes and complex sensors, e.g., cameras and radars. The introduction of autonomous functional components, such as advanced driver assistance systems, highlight the foreseeable complexity of different parts of the system interacting with each other and with the human driver. It is of utmost importance that the testing effort can scale with this increasing complexity. In this paper, we review the challenges that we are facing in integration testing of complex embedded vehicular systems. Further, based on these challenges we outline a set of research directions for semi-automated or automated test design and execution in integration testing of vehicular systems. While the discussion is exemplified with our hands-on experience of the automotive industry, much of the concepts can be generalised to a broader setting of complex embedded systems.","Daniel Flemström; T. Gustafsson; A. Kobetski; Daniel Sundmark","2016","KTH Publication Database DiVA (KTH Royal Institute of Technology)","-","1","Include"
"Sapienz: multi-objective automated testing for Android applications","We introduce Sapienz, an approach to Android testing that uses multi-objective search-based testing to automatically explore and optimise test sequences, minimising length, while simultaneously maximising coverage and fault revelation. Sapienz combines random fuzzing, systematic and search-based exploration, exploiting seeding and multi-level instrumentation. Sapienz significantly outperforms (with large effect size) both the state-of-the-art technique Dynodroid and the widely-used tool, Android Monkey, in 7/10 experiments for coverage, 7/10 for fault detection and 10/10 for fault-revealing sequence length. When applied to the top 1,000 Google Play apps, Sapienz found 558 unique, previously unknown crashes. So far we have managed to make contact with the developers of 27 crashing apps. Of these, 14 have confirmed that the crashes are caused by real faults. Of those 14, six already have developer-confirmed fixes.","Ke Mao; M. Harman; Yue Jia","2016","International Symposium on Software Testing and Analysis","10.1145/2931037.2931054","566","Include"
"Test Better by Exploring: Harnessing Human Skills and Knowledge","Users continue to stumble upon software bugs, despite developers' efforts to build and test high-quality software. Although traditional testing and quality assurance techniques are extremely valuable, software testing should pay more attention to exploration. Exploration can directly apply knowledge and learning to the core of industrial software testing, revealing more relevant bugs earlier. This article describes exploration's characteristics, knowledge's role in software testing, and the three levels of exploratory-testing practices. Academics and practitioners should focus on exploiting exploration's strengths in software testing and on reporting existing practices and benefits in different academic and industrial contexts.","Juha Itkonen; M. Mäntylä; C. Lassenius","2016","IEEE Software","10.1109/ms.2015.85","16","Include"
"Reporting usability defects: do reporters report what software developers need?","Reporting usability defects can be a challenging task, especially in convincing the software developers that the reported defect actually requires attention. Stronger evidence in the form of specific details is often needed. However, research to date in software defect reporting has not investigated the value of capturing different information based on defect type. We surveyed practitioners in both open source communities and industrial software organizations about their usability defect reporting practices to better understand information needs to address usability defect reporting issues. Our analysis of 147 responses show that reporters often provide observed result, expected result and steps to reproduce when describing usability defects, similar to the way other types of defects are reported. However, reporters rarely provide usability-related information. In fact, reporters ranked cause of the problem is the most difficult information to provide followed by usability principle, video recoding, UI event trace and title. Conversely, software developers consider cause of the problem as the most helpful information for them to fix usability defects. Our statistical analysis reveals a substantial gap between what reporters provide and what software developers need when fixing usability defects. We propose some remedies to resolve this gap.","N. Yusop; J. Grundy; Rajesh Vasa","2016","International Conference on Evaluation & Assessment in Software Engineering","10.1145/2915970.2915995","35","Include"
"The impact of domain knowledge on the effectiveness of requirements engineering activities","-","Ali Niknafs; D. Berry","2016","Empirical Software Engineering","10.1007/s10664-015-9416-2","26","Include"
"Do Exploratory Testers Need Formal Training? An Investigation Using HCI Techniques","Exploratory software testing is an activity which can be carried out by both untrained and formally trained testers. We personify the former as Carmen and the latter as George. In this paper, we outline a joint research exercise between industry and academia that contributes to the body of knowledge by (1) proposing a data gathering and processing methodology which leverages HCI techniques to characterise the differences in strategies utilised by Carmen and George when approaching an exploratory testing task, and (2) present the findings of an initial study amongst twenty participants, ten formally trained testers and another ten with no formal training. Our results shed light on the types of strategies used by each type of tester, how they are used, the effectiveness of each type of strategy in terms of finding bugs, and the types of bugs each tester/strategy combination uncovers. We also demonstrate how our methodology can be used to help assemble and manage exploratory testing teams in the real world.","Mark Micallef; C. Porter; A. Borg","2016","International Conference on Software Testing, Verification and Validation Workshops","10.1109/icstw.2016.31","31","Include"
"The Effect of Team Exploratory Testing -- Experience Report from F-Secure","Practitioners have found exploratory testing (ET) to be cost effective in detecting defects. The team exploratory testing (TET) approach scales exploratory testing to team level. This paper reports the effectiveness of (TET), and the experiences of the participants of TET sessions. The research was carried at F-Secure Corporation, where two projects were investigated. The results show that the TET sessions have good effectiveness and higher efficiency than other testing methods in the company measured in number of defects detected. Furthermore, the TET sessions found more usability defects that other methods. The session participants saw benefits in especially in the joint discussion and learning of the target application. However, with respect to test effectiveness and efficiency we should be cautions as further studies are needed to compensate the limitations of this work.","Paula Raappana; Soili Saukkoriipi; I. Tervonen; M. Mäntylä","2016","International Conference on Software Testing, Verification and Validation Workshops","10.1109/icstw.2016.13","12","Include"
"WAP: Cognitive aspects in unit testing: The hunting game and the hunter's perspective","Humans are hunters and love the chase — they hunt for food, they hunt for bugs in software. In the last decade, testing research has gone deeper and broader to help with the challenging task of catching bugs. Much of the literature approaches the problem from a theoretical-technical perspective and is often oriented to automated solutions. Yet, there is a gap between industry testing problems and research testing solutions. We take a different perspective and consider the human component as a major part of the solution for practical testing problems. Many of these human-related issues are reported in academic surveys of practitioners. We highlight the importance of human factors in testing by introducing a hunting metaphor. We also bring attention to evidence on cognitive support demands in unit test practices. An initial framework is proposed as an effort to bring understanding of cognitive support demands, and provides direction for further research on unit testing tools which support tester skill improvement.","M. P. Prado; Eric Verbeek; M. Storey; A. Vincenzi","2015","IEEE International Symposium on Software Reliability Engineering","10.1109/issre.2015.7381832","6","Include"
"Using the Findings of a Mapping Study to Conduct a Research Project: A Case in Knowledge Management in Software Testing","A mapping study provides a broad overview of a research area in order to determine whether there is research evidence on a particular topic. Results of a systematic mapping may identify suitable areas for performing future research. In this paper, we discuss our experience in using the findings of a mapping study on Knowledge Management (KM) in Software Testing for performing a real research project, which also applied other empirical approaches. The main goals of this paper are: (i) to reinforce the importance of a systematic mapping in the conduction of a research project by discussing a real case of such application, and (ii) to present the results of our survey on the most important aspects of KM when applied to software testing.","É. Souza; R. Falbo; N. Vijaykumar","2015","EUROMICRO Conference on Software Engineering and Advanced Applications","10.1109/seaa.2015.10","4","Include"
"Poster: Is Carmen Better than George? Testing the Exploratory Tester Using HCI Techniques","Exploratory software testing is an activity which can be carried out by both untrained and formally trained testers. In this paper, we propose using Human Computer Interaction (HCI) techniques to carry out a study of exploratory testing strategies used by the two groups of testers. This data will be used to make recommendations to companies with regards to the mix of skills and training required for testing teams.","A. Borg; C. Porter; Mark Micallef","2015","2015 IEEE/ACM 37th IEEE International Conference on Software Engineering","10.1109/icse.2015.262","5","Include"
"Combining model-based and risk-based testing for effective test case generation","Model-based testing employs models of the system under test to automatically generate test cases. In this paper, we propose an iterative approach, in which these models are refined based on the principles of risk-based testing. We use Markov Chains as system models, in which transitions among system states are annotated with probabilities. Initially, these probability values are equal and as such, states have equal chances for being visited by the generated test cases. Memory leaks are monitored during the execution of these test cases. Then, transition probabilities are updated based on the risk that a failure can occur due to the observed memory leaks. We applied our approach in the context of an industrial case study for model-based testing of a Smart TV system. We observed promising results, in which several crash failures were detected after an iteration of model refinement. We aim at automating the whole process based on an adaptation model using the history of recorded memory leaks during previous test executions.","Ceren Sahin Gebizli; D. Metin; Hasan Sözer","2015","International Conference on Software Testing, Verification and Validation Workshops","10.1109/icstw.2015.7107464","13","Include"
"How are software defects found? The role of implicit defect detection, individual responsibility, documents, and knowledge","-","M. Mäntylä; Juha Itkonen","2014","Information and Software Technology","10.1016/j.infsof.2013.12.005","18","Include"
"How is exploratory testing used? A state-of-the-practice survey","Context: Exploratory Testing has experienced a rise in popularity in the industry with the emergence of agile development practices, yet it remains unclear, in which domains and how it is used in practice.
 Goal: To study how software engineers understand and apply the principles of exploratory testing, as well as the specific advantages and difficulties they experience.
 Method: We conducted an online survey in the period June to August 2013 among Estonian and Finnish software developers and testers.
 Results: Our main findings are that the majority of testers, developers, and test managers using ET, (1) apply ET to usability-critical, performance-critical, security-critical and safety-critical software to a high degree; (2) use ET very flexibly in all types of test levels, activities, and phases; (3) perceive ET as an approach that supports creativity during testing and that is effective and efficient; and (4) find that ET is not easy to use and has little tool support.
 Conclusions: The high degree of application of ET in critical domains is particularly interesting and indicates a need for future research to obtain a better understanding of the effects of ET in these domains. In addition, our findings suggest that more support to ET users should be given (guidance and tools).","Dietmar Pfahl; Huishi Yin; M. Mäntylä; Jürgen Münch","2014","International Symposium on Empirical Software Engineering and Measurement","10.1145/2652524.2652531","47","Include"
"Improving Models for Model-Based Testing Based on Exploratory Testing","Model-based testing facilitates automatic generation of test cases by means of models of the system under test. Correctness and completeness of these models determine the effectiveness of the generated test cases. Critical faults can be missed due to omissions in the models, which are primarily created manually. In practice, these faults are usually detected with exploratory testing performed manually by experienced test engineers. In this paper, we propose an approach for refining system models based on the experience and domain knowledge of these test engineers. Our toolset analyzes the execution traces that are recorded during exploratory testing activities and identifies the omissions in system models. The identified omissions guide the refinement of models to be able to generate more effective test cases. We applied our approach in the context of an industrial case study to improve the models for model-based testing of a Digital TV system. After applying our approach, three critical faults were detected. These faults were not detected by the initial set of test cases and they were also missed during the exploratory testing activities.","Ceren Sahin Gebizli; Hasan Sözer","2014","2014 IEEE 38th International Computer Software and Applications Conference Workshops","10.1109/compsacw.2014.110","15","Include"
"A Strategic Review of Exploratory Testing Techniques","A Strategic Review of Exploratory Testing Techniques &nbsp;&nbsp;&nbsp; International Journal of Engineering Trends and Technology (IJETT) &nbsp;&nbsp; &nbsp; &nbsp;&nbsp;&nbsp;&nbsp; &nbsp;&nbsp; © 2014 by IJETT Journal Volume-10","S. Sameer","2014","International Journal of Engineering Trends and Technology","10.14445/22315381/ijett-v10p318","1","Include"
"An experiment on the effectiveness and efficiency of exploratory testing","-","W. Afzal; A. Ghazi; Juha Itkonen; R. Torkar; A. Andrews; Khurram Bhatti","2014","Empirical Software Engineering","10.1007/s10664-014-9301-4","49","Include"
"Are test cases needed? Replicated comparison between exploratory and test-case-based software testing","-","Juha Itkonen; M. Mäntylä","2014","Empirical Software Engineering","10.1007/s10664-013-9266-8","65","Include"
"Analyzing an automotive testing process with evidence-based software engineering","-","Abhinaya Kasoju; K. Petersen; M. Mäntylä","2013","Information and Software Technology","10.1016/j.infsof.2013.01.005","69","Include"
"More testers - The effect of crowd size and time restriction in software testing","-","M. Mäntylä; Juha Itkonen","2013","Information and Software Technology","10.1016/j.infsof.2012.12.004","49","Include"
"Understanding Problem Solving in Software Testing: An Exploration of Tester Routines and Behavior","-","Eduard Paul Enoiu; Gregory Gay; Jameel Esber; R. Feldt","2023","International Conference on Testing Software and Systems","10.1007/978-3-031-43240-8_10","-","Include"
"Towards an Approach for Improving Exploratory Testing Tour Assignment based on Testers' Profile",": This work presents an empirical study on the relationship between the testers’ proﬁle and their efﬁciency and preference in the application of tours with tourist metaphor for exploratory software testing. For this purpose, we developed and applied a questionnaire based model to gather as much as possible information about the knowledge, expertise and education level from a group of testers. The results indicated that, in fact, the testers’ proﬁle have impact on the application of tours used in the tourist metaphor: there are differences between the tours preferred by different levels of education and most of testers tend to choose those tours based on what they believed to have the shortest execution time. This work raises a valuable discussion about a humanized process of assigning test tasks in order to improve the efﬁciency of software testing.","L. Santos; R. Figueiredo; Rafael Barbosa; A. Vincenzi; G. V. Pedrosa; J. L. Gardenghi","2022","International Conference on Enterprise Information Systems","10.5220/0011113800003179","-","Include"
"Investigación sobre técnicas y estrategias de prueba del software: un estudio de mapeo sistemático sobre la última década","-","Naomi García; Julio C. Díaz; R. Vera","2021","Research on computing science","-","1","Include"
"Continuous integration and delivery applied to large-scale software-intensive embedded systems","Software development has become one of the world’s most important technologies. In parallel with the emergence of software development itself, development methodologies have evolved from the stage-gated waterfall model to more adaptive development frameworks such as XP and Scrum. As a part of XP and other agile methodologies, continuous integration and continuous delivery were introduced to mitigate problems with a long and unpredictable integration process at the final stage of a project. Companies that develop large-scale software-intensive embedded systems develop software systems combined with electronic and mechanical systems. These companies can also utilize the benefits from continuous integration and continuous delivery, but only if continuous integration and continuous delivery could be adapted to challenges and limitations introduced by large-scale and by proximity to hardware. The first part of this thesis identifies the problems that must be taken into account when applying continuous integration to large-scale software-intensive embedded systems. This is followed by definitions and interpretations of continuous integration and continuous delivery applicable to development of large-scale software systems. Finally, the key contributions of the research presented in this thesis are two models and a method, which will help organizations struggling with challenges related to scale and proximity to hardware to better implementations of continuous integration and continuous delivery. These contributions are valuable for both researchers and practitioners, as they provide a systematic approach rather than making changes blindly and hoping for the best.","Torvald Mårtensson","2019","Data Archiving and Networked Services (DANS)","-","2","Include"
"Knowledge Management in Software Testing: A Systematic Snowball Literature Review","Background: Software testing benefits from the usage of Knowledge Management (KM) methods and principles. Thus, there is a need to adopt KM to the software testing core processes and attain the benefits that it provides in terms of cost, quality, etc. Aim: To investigate the usage and implementation of KM for software testing. The major objectives include 1. To identify various software testing aspects that receive more attention while applying KM. 2. To analyse multiple software testing techniques, i.e. test design, test execution and test result analysis and highlight KM involvement in these. 3. To gather challenges faced by industry due to the lack of KM initiatives in software testing. Method: A Systematic Literature Review (SLR) was conducted utilizing the guidelines for snowballing reviews by Wohlin. The identified studies were analysed in relation to their rigor and relevance to assess the quality of the results. Results: The initial resulting set provided 4832 studies. From these, 35 peer-reviewed papers were chosen among which 31 are primary, and 4 are secondary studies. The literature review results indicated nine testing aspects being in focus when applying KM within various adaptation contexts and some benefits from KM application. Several challenges were identified, e.g., improper selection and application of better-suited techniques, a low reuse rate of software testing knowledge, barriers in software testing knowledge transfer, no possibility to quickly achieve the most optimum distribution of human resources during testing, etc. Conclusions: The study brings supporting evidence that the application of KM in software testing is necessary, e.g., to increase test effectiveness, select and apply testing techniques. The study outlines the testing aspects and testing techniques that benefit their users.","K. Wnuk; Thrinay Garrepalli","2018","e-Informatica Software Engineering Journal","10.5277/e-inf180103","35","Include"
"Improving reporting of usability defects in open source software projects","Poor software usability is one of the major reasons why some software is less popular in the market than other. Early identification and reporting of usability issues is important so that they can be fixed earlier before being release to the customers. However, some users with limited technical knowledge found it is a challenge to report useful information for reporting usability issues. This research surveyed industrial software development practitioners and analysed real defect reports to investigate an ideal content for reporting usability issues and subsequently improved the existing defect reporting.","M. Yusop; N. Shahida","2018","-","-","1","Include"
"Levels of Exploration in Exploratory Testing: From Freestyle to Fully Scripted","Exploratory testing (ET) is a powerful and efficient way of testing software by integrating design, execution, and analysis of tests during a testing session. ET is often contrasted with scripted testing and seen as a choice of either exploratory testing or not. In contrast, we pose that exploratory testing can be of varying degrees of exploration from fully exploratory to fully scripted. In line with this, we propose a scale for the degree of exploration and define five levels. In our classification, these levels of exploration correspond to the way test charters are defined. We have evaluated this classification through focus groups at four companies and identified factors that influence the choice of exploration level. The results show that the proposed levels of exploration are influenced by different factors such as ease to reproduce defects, better learning, and verification of requirements and that the levels can be used as a guide to structure test charters. Our study also indicates that applying a combination of exploration levels can be beneficial in achieving effective testing.","A. Ghazi; K. Petersen; E. Bjarnason; P. Runeson","2018","IEEE Access","10.1109/access.2018.2834957","12","Include"
"Hand Jitter Reduction Algorithm Software Test Automation Using Robotic Arm","Hand jitter reduction (HJR) is an algorithm developed to offset the jitter effect caused by camera users. The hand jitter algorithm can be added and implemented in digital signal processing using hardware acceleration to execute these noise reduction algorithms. HJR involves the detection of noise in the camera images and the application of noise reduction algorithms to smoothen these noises. HJR tests are critical for validating the authenticity of the HJR algorithm. The challenge here is to be able to simulate similar motions to what a real-world user would experience while using the camera. We have inducted and programmed a robotic arm to simulate real-world user motions. We have developed software to simulate different motions, such as the generation of sine waves, and we also generate a randomized motion that is a combination of different motions, such as a sine wave, a cosine wave, and vertical, horizontal, and angular motions. In the robotic arm setup, the robot comprises six joints, and we can rotate the joints to generate a specific motion. We have developed an algorithm to find the locations of joints depending on the motion we need to simulate. For example, if we need a 30° rotation while the camera is at a specific location, we can calculate the joint value for specific joints in the robotic arm. The goal of HJR tests is also to categorize the results of the camera as having acceptable or non-acceptable results based on the induced motions. The test automation has immensely helped us to objectively benchmark the performance of the algorithm over several software builds. We have provided test results of computer vision use cases of camera panorama to show the effect of hand jitter on the quality of the software.","D. Banerjee; K. Yu; Garima Aggarwal","2018","IEEE Access","10.1109/access.2018.2829466","11","Include"
"Pauliceia 2 . 0 : A Spatiotemporal Platform for Digital Humanities View project","-","Claudia P. C. Maciel; É. Souza; N. Vijaykumar; R. Falbo; G. V. Meinerz; K. Felizardo","2018","-","-","-","Include"
