DOI,Title,Authors,Journal,Year,Abstract,LitmapsId,Cited By,References,PubMedId,Tags
10.1145/3571697.3571700,Organizational governance: Resolving insufficient practice and quality expectation in Small Software Companies.,"Micheal Tuape, P. Iiyambo, Jussi Kasurinen",Esse,2022,"The quality of software products is among the most prevalent challenges threatening the software development primarily in small software companies (SSCs). These challenges are associated with insufficient practices affecting the production of software and the development processes. This paper explores the role of governance in streamlining software processes and practices to produce better quality software products. In a cross-sectional survey (n = 127), we reached out to software practitioners working in SSCs from four countries. We examined how SSCs engage in oversight and accountability and how SSCs perform management roles and activities, such as controlling, directing, and guiding in the process of developing software. Our findings indicate that although the SSCs minimally embrace governance practices, the smaller companies have a more challenging task embracing governance practices from the complexities arising out of these companies' structures. This study highlights the aspects of governance that need attention in the smaller category of SSCs. It proposes an organizational governance model to facilitate the SSCs in developing governance strategies to take advantage of the benefits of governance during software development.",253813348,2,32,,
10.1145/3649597,Lessons Learned from Developing a Sustainability Awareness Framework for Software Engineering Using Design Science,"Stefanie Betz, Birgit Penzenstadler, Leticia Duboc, R. Chitchyan, S. Koçak, Ian Brooks, Shola Oyedeji, J. Porras, Norbert Seyff, Colin C. Venters",ACM Transactions on Software Engineering and Methodology,2024,"To foster a sustainable society within a sustainable environment, we must dramatically reshape our work and consumption activities, most of which are facilitated through software. Yet, most software engineers hardly consider the effects on the sustainability of the IT products and services they deliver. This issue is exacerbated by a lack of methods and tools for this purpose. Despite the practical need for methods and tools that explicitly support consideration of the effects that IT products and services have on the sustainability of their intended environments, such methods and tools remain largely unavailable. Thus, urgent research is needed to understand how to design such tools for the IT community properly. In this article, we describe our experience using design science to create the Sustainability Awareness Framework (SusAF), which supports software engineers in anticipating and mitigating the potential sustainability effects during system development. More specifically, we identify and present the challenges faced during this process. The challenges that we have faced and addressed in the development of the SusAF are likely to be relevant to others who aim to create methods and tools to integrate sustainability analysis into their IT products and services development. Thus, the lessons learned in SusAF development are shared for the benefit of researchers and other professionals who design tools for that end.",270105041,12,113,,
10.1016/j.csi.2022.103688,Determining a core view of research quality in empirical software engineering,"Jefferson Seide Molléri, Emilia Mendes, Kai Petersen, Michael Felderer, Jefferson Seide Molléri, Emilia Mendes, Kai Petersen, Michael Felderer",Comput. Stand. Interfaces,2022,(missing abstract),245382215,6,37,,
10.5753/sbqs_estendido.2024.244814,"Colaborações entre a Indústria, Academia e Governo: Uma Plataforma Inteligente","Denis de Gois Marques, Wylliams Barbosa Santos, Cleyton Mário de Oliveira Rodrigues",(missing journal),2024,"Um dos fatores impactantes nas inserções de novas tecnologias na indústria e governo são as realizações de práticas Colaborativas entre Indústria e Academia (IAC), onde através das Pesquisas-Desenvolvimento (P&amp;D) é possível realizar transformações digitais e o desenvolvimento de novas tecnologias aplicadas. Esse trabalho propõe o desenvolvimento de uma Revisão Sistemática da Literatura (RSL) e o desenvolvimento de uma plataforma inteligente que utiliza práticas de Processamento de Linguagem Natural (PLN) e Large Language Models (LLM) para potencializar essas colaborações. Atualmente, desenvolvemos uma RSL extensa, foi desenvolvido uma primeira versão de um MVP do projeto e organizamos as novas etapas para melhorias no MVP, do sistema e da tese. Os Resultado Futuros vão permitir o compartilhamento, interconexão com as instituições e pesquisadores e auxiliar nas melhores tomadas de decisões dos participantes. LINK DO VÍDEO: https://youtu.be/Gt80d00oTEg",282054560,0,13,,
10.3389/fdgth.2021.616278,"Benefits, Facilitators, and Recommendations for Digital Health Academic-Industry Collaboration: A Mini Review","K. Ford, J. Portz, Shuo Zhou, Starlynne Gornail, Susan L. Moore, Xuhong Zhang, S. Bull",Frontiers in Digital Health,2021,"Digital health remains a growing and challenging niche in public health practice. Academic-industry collaboration (AIC) offers a mechanism to bring disparate sectors together to alleviate digital health challenges of engagement, reach, sustainability, dissemination, evaluation, and equity. Despite the ongoing endorsements for AIC in digital health, limited understanding exists of successful AIC exists. Most published research highlights the barriers of collaboration rather than efficacy, leaving collaborators asking: What are the benefits and facilitators of AIC and do they apply in digital health? As an initial effort to fill the gap in the literature, the purpose of this mini review outlines the benefits and facilitators from previous AIC and offers recommendations specific to digital health.",112963854,16,103,,
10.1155/2023/2144733,Machine Learning for Promoting Environmental Sustainability in Ports,"Meead Mansoursamaei, Mahmoud Moradi, R. G. González‐Ramírez, Eduardo Lalla-Ruiz",Journal of Advanced Transportation,2023,"Maritime transportation is one of the essential drivers of the global economy as it enables both lower transportation costs and intermodal operations across multiple forms of transportation. Maritime ports are essential interfaces that support cargo handling between sea and hinterland transportation. Besides, in this area, environmental protection is becoming extremely important. Global warming, air pollution, and greenhouse gas emissions are all having a detrimental influence on the environment and will most likely continue to do so for future generations. Hence, there is a growing need to promote environmental sustainability in maritime-based transportation. The application of machine learning (ML), as one of the main subdomains of artificial intelligence (AI), can be considered a component within the process of digital transformation to advance green activities in maritime port logistics. Thus, this article presents the results of a systematic literature review of the recent literature on machine learning for promoting environmentally sustainable maritime ports. It collects and analyses the articles whose contributions lie in the interplay between three main dimensions, i.e., machine learning, port-related operations, and environmental sustainability. Throughout a review protocol, this research is constituted on the major focuses of impact, problems, and techniques to discern the current state of the art as well as research directions. The research findings indicate that the articles using polynomial regression models are dominant in the literature, and the recurrent neural network (RNN) and long short-term memory (LSTM) are the most recent approaches. Moreover, in terms of environmental sustainability, emissions and energy consumption are the most studied problems. mAccording to the research gaps observed in the review, two broad directions for future research are identified: (i) altering attention on a greater diversity of machine learning approaches for promoting environmental sustainability in ports and (ii) leveraging new outlooks to perform more green practical works on port-related operations.",254451628,29,53,,
10.22215/timreview/1241,Embedded Master’s Students Conduct Highly Relevant Research Using Industry as Their Laboratory,"K. Falk, G. Muller",Technology Innovation Management Review,2019,"Systems Engineering as a profession emerged from the telecommunications and space programs in the United States in the 1950s. Motivating this emergence was the need for these systems to be safe, reliable, robust, and able to handle unforeseen events. Practicing systems engineers wrote the earliest Systems Engineering literature (Chestnut, 1967; Goode & Machol, 1957), but it took nearly 20 years before academia began to offer explicit Systems Engineering educational opportunities and to produce textbooks. The subsequent literature has dealt not only with technological topics but also with the corresponding impacts on organizations that produce these complex systems. Thus, research on Systems Engineering is still an emerging field. One challenge is that Systems Engineering is context dependent: the practice is dependent on both the engineering domain as well as the organizations and its surroundings. Another challenge is that valuable tacit knowledge remains largely undocumented within the companies and industries. Specifically, research on Systems Engineering implementation and best practices within the oil and gas industry is scarce. This raises questions about how to make this knowledge explicit and how to best apply Systems Engineering in different settings.",154438238,13,68,,
10.5753/educomp.2024.237410,Brewing Ideas: An Experience Report on the Use of World Café's to Spin on Collaborative Learning of Software Development Life Cycles,"Pedro Lucas Dornelles, Jean Dantas, Rafael Parizi",Anais do IV Simpósio Brasileiro de Educação em Computação (EDUCOMP 2024),2024,"Context: In Software Engineering Education, there is a continuous search for methods that might promote active and collaborative learning is ongoing. While many active learning strategies have been explored, few emphasize facilitating information exchange among students themselves. Goal: This study investigates the World Café technique’s effectiveness in a Software Engineering classroom, focusing on enhancing understanding of Software Development Life Cycles and fostering collaborative learning. Research Method: Over four weeks, we integrated the World Café into a Software Engineering class. We assessed (i) students’ comprehension, experiences, and perceptions of the technique’s support for learning and collaborating and (ii) the perceived usefulness, ease of use, intention of use, and potential external factors impacting the technique’s adoption. Results: Our study had 17 student participants and our findings suggest that World Café can facilitate highquality collaborative learning. Students also identified constraints like limited time, low host engagement, and inadequate discussion materials as potential challenges. Contributions and Final Remarks: This report provides insights into the World Café technique’s potential in Software Engineering Education, particularly for teaching software development life cycles and other content areas, emphasizing its potential for broader applicability.",288800184,1,23,,
10.5753/sbes.2024.3518,Aproximando Indústria e Academia para Lapidação de Talentos em Desenvolvimento de Software no Sertão do Ceará: Um Estudo de Caso sobre o mandacaru.dev,"Alexandre Feitosa, Artelino Tavares, Henrique Martins, Emanuel Pessôa, Marlon Paiva, Emerson B. Tomaz, Allysson Allex Araújo",Brazilian Symposium on Software Engineering,2024,"Grounded on the alliance between industry and academia, mandacaru. dev emerged to nurture talent from the of Ceará through an immersive training program aligned with the digital challenges of companies B3, Bolsa do Brasil, PDtec, and BLK, in partnership with the Federal University of Ceará (UFC). As a descriptive case study, this study seeks to investigate the perception of students (n=72) and professionals (n=8) involved in the organization/execution of mandacaru.dev. Quali-quantitative research utilized questionnaires and interviews for data collection, with Descriptive Statistics and Thematic Content Analysis were applied for data analysis. In summary, 77.77% of students saw positive professional growth from mandacaru.dev, while 87.50% felt more connected to the software market. The qualitative analysis covered prior experience and expectations, operationalization of the program, and implications and lessons learned. This research contributes to academia and industry by examining, from the perspectives of students and professionals, a relevant experience rooted in industry-academia collaboration aimed at training and attracting talent in software development.",279949284,1,20,,
10.22215/timreview/1232,Increasing the Impact of Industry–Academia Collaboration through Co-Production,"A. Sannö, A. Öberg, Erik Flores-García, M. Jackson",Technology Innovation Management Review,2019,"Increased competition and globalization motivate us to join forces to enhance the impact of the research conducted. Collaboration between organizations with different views can, however, be difficu ...",184967768,31,28,,
10.48550/arxiv.2206.07877,Roadblocks to Attracting Students to Software Testing Careers: Comparisons of Replicated Studies,"Rodrigo Souza, R. Santos, Luiz Fernando Capretz, Marlon A. S. de Sousa, C. Magalhães",ArXiv,2022,"Context. Recently, a family of studies highlighted the unpopularity of software testing careers among undergraduate students in software engineering and computer science courses. The original study and its replications explored the perception of students in universities in four countries (Canada, China, India, and Malaysia), and indicated that most students do not consider a career in software testing as an option after graduation. This scenario represents a problem for the software industry since the lack of skilled testing professionals might decrease the quality of software products and increase the number of unsuccessful projects. Goal. The present study aims to replicate, in Brazil, the studies conducted in the other four countries to establish comparisons and support the development of strategies to improve the visibility and importance of software testing among undergraduate students across the globe. Method. We followed the same protocol in the original study to collect data using a questionnaire and analyzed the answers using descriptive statistics and qualitative data analysis. Results. Our findings indicate similarities among the results obtained in Brazil in comparison to those obtained from other countries. We observed that students are not motivated to follow a testing career in the software industry based on a belief that testing activities lack challenges and opportunities for continuous learning. Conclusions. In summary, students seem to be interested in learning more about software testing. However, the lack of discussions about the theme in software development courses, as well as the limited offer of courses focused on software quality at the university level reduce the visibility of this area, which causes a decrease in the interest in this career.",254172975,6,23,,
10.1145/3572905,Machine Learning for Software Engineering: A Tertiary Study,"Zoe Kotti, R. Galanopoulou, D. Spinellis",ACM Computing Surveys,2022,"Machine learning (ML) techniques increase the effectiveness of software engineering (SE) lifecycle activities. We systematically collected, quality-assessed, summarized, and categorized 83 reviews in ML for SE published between 2009 and 2022, covering 6,117 primary studies. The SE areas most tackled with ML are software quality and testing, while human-centered areas appear more challenging for ML. We propose a number of ML for SE research challenges and actions, including conducting further empirical validation and industrial studies on ML, reconsidering deficient SE methods, documenting and automating data collection and pipeline processes, reexamining how industrial practitioners distribute their proprietary data, and implementing incremental ML approaches.",277685843,37,184,,
10.4018/978-1-7998-3661-2.ch005,Cultivating Practitioners for Software Engineering Experiments in industry,"G. López, L. García-Borgoñón, Sira Vega, M. Escalona, N. Juristo",(missing journal),2021,"Controlled experiments are commonly used to evaluate software methods, processes, and tools. Literature presents that the validation of software engineering research results in industrial settings is a powerful way to obtain feedback about its value. However, to implicate industry and practitioners in experiments is not an easy task, and, even when a company is committed, frequently the number of practitioners involved is not enough to execute and validate the experiment. This chapter presents a guide of best practices that can be used in order to get a high number of participants that can validate research results from the industry. These practices are oriented to create an attractive environment for companies to conclude that the participation in a research experiment can be interesting for them. In order to illustrate them, the chapter also introduces the authors' experiences when running an experiment about early testing at the University of Seville, where they followed these guidelines to successfully enhance the participation of 76 practitioners from 32 different software companies.",879797,4,20,,
10.28926/briliant.v9i1.1674,Collaboration Skills in Vocational Schools in The Information and Communication Technology (ICT) Sector,"Hanif Aulia Kusuma, Yoto Yoto",Briliant,2024,"In 2018, the technology, business and ICT (information and communication technology) sectors were the sectors that received the most new students at the vocational school level. Jobs in the ICT sector are one of the sectors that are really needed in Indonesia. There are more job vacancies in the ICT sector for vocational schools than for high schools. However, in the 2015-2019 period, the number of ICT sector workers with high school graduates was higher than vocational school graduates. The soft skill that is most needed in ICT sector jobs is collaboration. The main objective of this literacy study is to describe learning methods to improve collaboration skills in vocational high school students in the ICT field. Systematic literacy study using the PICOC framework is the method used. The results of this literacy study are in the form of descriptions related to: 1. The concept of collaboration; 2. Challenges and obstacles; 3. Learning activities to improve collaboration skills. It was found that problem-based learning (PBL) can improve collaboration abilities. To be suited to the world of work, it is necessary to integrate the Scrum model to develop vocational school students' collaboration skills in the field of ICT.",270402296,0,37,,
10.1080/17477778.2019.1598782,Framework for simulation software selection,"L. Fumagalli, A. Polenghi, Elisa Negri, I. Roda",J. Simulation,2019,"ABSTRACT In the last years, the selection of the most suitable simulation software to correctly face industrial problems has become vital for companies. The choice should be made among several possibilities and some companies, especially SMEs, may not have the appropriate tools. Moreover, a change of perspective is detected in industry: the technological evolution has shifted the problem from the “best-ever” solution identification, independently from the goals, to the usability of the software, in function of the company's objectives. In this context, technicians and managers act as decision-makers, not only as receivers. The present work proposes an update of the criteria used for evaluating the most appropriate simulation software among different options. Based on that, an AHP-based evaluation framework is defined to support the selection process to face the industrial problem. The proposed methodology has been tested in an industrial case and its effectiveness has been proven.",181035048,31,57,,
10.1109/apsecw.2017.23,Regression Testing Goals - View of Practitioners and Researchers,"N. Minhas, K. Petersen, N. Ali, K. Wnuk",2017 24th Asia-Pacific Software Engineering Conference Workshops (APSECW),2017,"Context: Regression testing is a well-researched area. However,the majority regression testing techniques proposed by theresearchers are not getting the attention of the practitioners. Communicationgaps between industry and academia and disparity in theregression testing goals are the main reasons. Close collaboration canhelp in bridging the communication gaps and resolving the disparities.Objective: The study aims at exploring the views of academicsand practitioners about the goals of regression testing. The purpose isto investigate the commonalities and differences in their viewpointsand defining some common goals for the success of regression testing.Method: We conducted a focus group study, with 7 testingexperts from industry and academia. 4 testing practitioners from 2companies and 3 researchers from 2 universities participated in thestudy. We followed GQM approach, to elicit the regression testinggoals, information needs, and measures.Results: 43 regression testing goals were identified by theparticipants, which were reduced to 10 on the basis of similarityamong the identified goals. Later during the priority assignmentprocess, 5 goals were discarded, because the priority assigned tothese goals was very low. Participants identified 47 informationneeds/questions required to evaluate the success of regression testingwith reference to goal G5 (confidence). Which were then reduced to10 on the basis of similarity. Finally, we identified measures to gaugethose information needs/questions, which were corresponding to thegoal (G5).Conclusions: We observed that participation level ofpractitioners and researchers during the elicitation of goals andquestions was same. We found a certain level of agreement betweenthe participants regarding the regression testing definitions and goals.But there was some level of disagreement regarding the prioritiesof the goals. We also identified the need to implement a regressiontesting evaluation framework in the participating companies.",41236467,15,27,,
10.1002/smr.2345,Towards evidence-based decision-making for identification and usage of assets in composite software: A research roadmap,"C. Wohlin, Efi Papatheocharous, Jan Carlson, K. Petersen, Emil Alégroth, J. Axelsson, Deepika Badampudi, Markus Borg, A. Cicchetti, Federico Ciccozzi, Thomas Olsson, Séverine Sentilles, Mikael Svahnberg, K. Wnuk, T. Gorschek",J. Softw. Evol. Process.,2021,"Software engineering is decision intensive. Evidence‐based software engineering is suggested for decision‐making concerning the use of methods and technologies when developing software. Software development often includes the reuse of software assets, for example, open‐source components. Which components to use have implications on the quality of the software (e.g., maintainability). Thus, research is needed to support decision‐making for composite software. This paper presents a roadmap for research required to support evidence‐based decision‐making for choosing and integrating assets in composite software systems. The roadmap is developed as an output from a 5‐year project in the area, including researchers from three different organizations. The roadmap is developed in an iterative process and is based on (1) systematic literature reviews of the area; (2) investigations of the state of practice, including a case survey and a survey; and (3) development and evaluation of solutions for asset identification and selection. The research activities resulted in identifying 11 areas in need of research. The areas are grouped into two categories: areas enabling evidence‐based decision‐making and those related to supporting the decision‐making. The roadmap outlines research needs in these 11 areas. The research challenges and research directions presented in this roadmap are key areas for further research to support evidence‐based decision‐making for composite software.",78537962,6,122,,
10.3390/info10100314,Approach of Agile Methodologies in the Development of Web-Based Software,"Jimmy Molina Ríos, Nieves Pedreira-Souto",Inf.,2019,"The current inclusion of agile methodologies in web-oriented projects has been considered on a large-scale by software developers. However, the benefits and limitations go beyond the comforts that project managers delimit when choosing them. Selecting a methodology involves more than only the associated processes or some documentation. Based on the above, we could define as the main concerns the approach with which we identify the methodology, the needs of the company, the size, and qualities of the project, and especially the characteristics of agile development that they possess. However, there are several difficulties in selecting the most appropriate methodology due to the features in common; Will it be suitable for my project? What challenges will be presented in the process? Will my team understand each stage? Will I be able to deliver software that satisfies the client? Project managers create these questions, which seem manageable but have huge effects. This paper presents a systematic literature review based on the analysis of the approaches of six web development methodologies. The aim of the study is to analyze the approaches presented by relevant methodologies, identifying their common agile characteristics and managing to contrast both its benefits and limitations during a project. As a result, we could itemize five common features, which are presented within the processes; (1) flexibility, (2) constant communication of the workgroup, (3) use of UML, (4) the inclusion of the end-user and (5) some documentation.",169206005,8,59,,
10.1016/j.infsof.2021.106609,Grey Literature in Software Engineering: A Critical Review,"F. Kamei, I. Wiese, Crescencio Rodrigues Lima Neto, Ivanilton Polato, V. Nepomuceno, Waldemar Ferreira, Márcio Ribeiro, Carolline Pena, Bruno Cartaxo, G. Pinto, S. Soares",Information and Software Technology,2021,(missing abstract),278290411,48,270,,
10.1109/csci54926.2021.00223,Benchmarking the software engineering undergraduate program curriculum at Jordan university of science and technology with the IEEE software engineering body of knowledge: (software engineering knowledge Areas #11-15),M. Radaideh,2021 International Conference on Computational Science and Computational Intelligence (CSCI),2021,"This paper evaluates the compliance of the software engineering undergraduate program (SWE-curriculum) at Jordan university of science and technology (JUST) with the last five of the fifteen software engineering knowledge Areas (SWE-KAs) of the SWEBOK-V3.0 of the IEEE computer Society. This research is the first to measure the coverage of the SWE-KAs in any SWE-curriculum. It is essential to line up the SWE-curriculum with the IEEE and IET views of software engineering (SWEBOK V3.0).This research attempted to answer questions such as: (a) what is the gap in the coverage of the SWE-KAs#11-15 topics across the SWE-curriculum? (b) what can be done to eliminate that gap? (c) What is the overall gap in the coverage of the SWE-KAs1-15 topics across the SWE-curriculum?This research was divided into three parts (P#1, P#2, and P#3). This paper focused on SWE-KAs#11-15. The previous two papers [1][2] focused on SWE-KA#1-5 and SWE-KA#6-10, respectively. The coverage of SWE-KAs#1-10 [1][2] was inspected across the SWE-curriculum courses. The results were identified as either fully compliant (the SWE-KA is fully covered across one or more of the SWE-curriculum courses); highly compliant (the SWE-KA is highly covered); or partially compliant (the SWE-KA is partially covered). Similarly, the coverage of SWE-KAs#11-15 (this paper, P#3) was inspected across the SWE-curriculum courses as well.The compliance was found fully compliant in the cases of the software requirements, software testing, software engineering management, and software quality software engineering knowledge areas. It was found highly compliant in the cases of the software design, software engineering models and methods, computing foundation, and mathematical foundation knowledge areas. It was found as partially compliant in the cases of the software construction, software maintenance, software configuration management, and software engineering process knowledge areas. In the cases of the software engineering professional Practice, software engineering economics, and engineering foundation knowledge areas, the compliance was found poorly compliant.",254150859,2,66,,
10.5753/sbie.2021.218281,Are we ready? Identifying the gap between academia and software industry in the context of agile methodologies,"Tâmara D. Dallegrave, G. Vasconcelos, G. Alves, W. Santos",Anais do XXXII Simpósio Brasileiro de Informática na Educação (SBIE 2021),2021,"Nowadays, there is an exponential increase in the technology industry. However, there is not enough movement to promote changes in the Computer Science curricula. This study aims to analyze the alignment between Brazilian northeast academia and the global industry regarding developing skills in the context of agile methods. This research conducted an exploratory and quantitative survey with 161 participants represented by 65 students, 85 professionals from 10 countries, and 16 university professors. The preliminary results illustrate that academics believe that they are moderately aligned with the market. However, from the practitioner's viewpoint, it is unsatisfactory. This article reports relevant findings that can help the Brazilian academy align its practices with the needs of the global software industry.",40742708,7,28,,
10.1109/mipro60963.2024.10569687,Narrowing Industry-Academia Gap with a Virtual Laboratory,"Sami Jantunen, Timo Hynninen","International Convention on Information and Communication Technology, Electronics and Microelectronics",2024,"Both the software industry and academia concur that teaching software engineering necessitates students to gain practical experience that aligns with the work in the software industry. Despite this consensus, establishing close collaborative ties between the software industry and academia has proven to be a gradual and challenging process. One method of immersing students in genuine software development contexts could involve assigning quality assurance tasks from companies and having students utilize a virtual laboratory for these assignments. This paper delineates the concept of utilizing a virtual laboratory to bridge the industry-academia gap in teaching software quality assurance activities and seeks to understand better how a virtual laboratory could be effectively used for such a purpose. In addition, the paper seeks to understand the main challenges faced by stakeholders when bridging the industry-academia gap. The paper provides real-life examples of employing a virtual laboratory for software quality assurance assignments and discusses the experiences derived from these cases. Gathered experiences suggest that the virtual laboratory is highly usable to support industry-academy collaboration for software quality assurance activities, but aligning the needs from industry and academia remains to be the essential challenge to be solved.",273857479,2,32,,
10.4018/ijswis.302895,Evaluation and Comparative Analysis of Semantic Web-Based Strategies for Enhancing Educational System Development,"B. Hu, A. Gaurav, C. Choi, A. Almomani",International Journal on Semantic Web and Information Systems (IJSWIS),2022,"Educators have been calling for reform for a decade. Recent technical breakthroughs have led to various improvements in the semantic web-based education system. After last year's COVID-19 outbreak, development quickened. Many countries and educational systems now concentrate on providing students with online education, which differs greatly from traditional classroom education. Online education allows students to learn at their own pace and the system. As a consequence, we may say that education has become more dynamic. In the educational system, this changing nature makes user demands difficult to identify. Many instructors suggest using machine learning, artificial intelligence, or ontology to improve traditional teaching methods. Due to the lack of survey studies examining and comparing all of the researcher's semantic web-based teaching methodologies, we decided to conduct this survey. This paper's goal is to analyse all available possibilities for semantic web-based education systems that enable new researchers to develop their knowledge.",248349929,52,82,,
(missing DOI),Automated System-Level Software Testing of Industrial Networked Embedded Systems,P. Strandberg,arXiv.org,2021,"Embedded systems are ubiquitous and play critical roles in management systems for industry and transport. Software failures in these domains may lead to loss of production or even loss of life, so the software in these systems needs to be reliable. Software testing is a standard approach for quality assurance of embedded software, and many software development processes strive for test automation. Out of the many challenges for successful software test automation, this thesis addresses five: (i) understanding how updated software reaches a test environment, how testing is conducted in the test environment, and how test results reach the developers that updated the software in the first place; (ii) selecting which test cases to execute in a test suite given constraints on available time and test systems; (iii) given that the test cases are run on different configurations of connected devices, selecting which hardware to use for each test case to be executed; (iv) analyzing test cases that, when executed over time on evolving software, testware or hardware revisions, appear to randomly fail; and (v) making test results information actionable with test results exploration and visualization. The challenges are tackled in several ways. [Abstract truncated.]",282346077,13,121,,
10.1002/smr.2372,A case study of industry–academia communication in a joint software engineering research project,"Sergio Rico, E. Bjarnason, Emelie Engström, Martin Höst, P. Runeson",J. Softw. Evol. Process.,2021,"Empirical software engineering research relies on good communication with industrial partners. Conducting joint research both requires and contributes to bridging the communication gap between industry and academia (IA) in software engineering. This study aims to explore communication between the two parties in such a setting. To better understand what facilitates good IA communication and what project outcomes such communication promotes, we performed a case study, in the context of a long‐term IA joint project, followed by a validating survey among practitioners and researchers with experience of working in similar settings. We identified five facilitators of IA communication and nine project outcomes related to this communication. The facilitators concern the relevance of the research, practitioners' attitude and involvement in research, frequency of communication and longevity of the collaboration. The project outcomes promoted by this communication include, for researchers, changes in teaching and new scientific venues, and for practitioners, increased awareness, changes to practice, and new tools and source code. Besides, both parties gain new knowledge and develop social‐networks through IA communication. Our study presents empirically based insights that can provide advise on how to improve communication in IA research projects and thus the co‐creation of software engineering knowledge that is anchored in both practice and research.",27362184,8,46,,
10.2139/ssrn.5472909,Emerging Trends in Software Architecture from the Practitioner’sPerspective: A Five-Year Review,"Ruoyu Su, Noman Ahmad, Matteo Esposito, Andrea Janes, Davide Taibi, Valentina Lenarduzzi",(missing journal),2025,(missing abstract),290818330,0,35,,
10.18261/njips.3.1.5,Spenningsfelt i et innovasjonssamarbeid mellom forskere og gründere,"Mette Sønderskov, Ulla Higdem, Marius Rohde Johannessen",Nordic Journal of Innovation in the Public Sector,2024,(missing abstract),276954118,0,36,,
10.18260/1-2-650-38725,Academic and Industry Collaboration – A Literature Review,"A. Lucietto, Diana Peters, Meher Taleyarkhan, Shelly Tan",2020 CIEC Proceedings,2020,"As part of a larger project determining best practices for establishing and maintaining effective, sustainable, collaborative relationships between academic and industry professionals, this review will outline the available materials and, conversely, the multiple gaps that exist regarding course content, methods of teaching, and practical experience relating to preparation for careers in engineering and engineering technology. Currently, there is no clear agreement on which principles and practices best enable industrial partners and academic institutions to establish and maintain mutually beneficial partnerships. In fact, there is no clear definition in the literature of what a mutually beneficial partnership entails, across the full range of educational, research, and professional development and service activities carried out within the engineering and technical community. The authors of this paper established informally that educators in both engineering and engineering technology are often challenged by this lack of research on sound recommendations regarding collaborative efforts. This paper is intended to be the start of a larger systemic literature review.",254171293,7,31,,
10.5753/cbie.sbie.2019.1611,How are my Students going? A Tool to Analyse Students' Interactions on Capstone Courses,"Márcia Lima, A. Fontão, David Fernandes, Tayana Conte, Bruno F. Gadelha",Anais do XXX Simpósio Brasileiro de Informática na Educação (SBIE 2019),2019,"Computing-related undergraduate students are encouraged to participate in Project-based Learning (PBL) courses through capstone courses in order to bridge the gap between software engineering (SE) educational and industrial worlds. In these courses, students improve their skills on industrial tools and processes and engage in real-world projects. One of the challenges of this kind of courses is how to monitor students’ progress. In this work, we propose a software tool based on statistical analysis and data-mining algorithms to investigate the usefulness of students’ communication logs to support professors’ pedagogical activities during a capstone course involving three different SE disciplines. Our results indicate the feasibility of using textual content and metadata content extracted from Slack logs to identify opportunities for the professor’s intervention. A quantitative analyze reveals an average precision of 81% at identifying the top-5 relevant sentences registered in the log.",105557912,2,14,,
(missing DOI),Collaboration relationship between university and software industry based on knowledge management: an exploratory approach,Marcello Chedid,(missing journal),2019,"The current environment that characterizes the software industry is extremely dynamic and somewhat complex demanding high-performance solutions, rapid development and cost efficiency. The collaboration relationship with universities has been represented a key resource, to the extent that together more easily can promote technological development that underpins innovation solutions. In addition, several studies point out knowledge sharing as an important and strongly influential factor in a collaboration relationship. In this context, the present thesis aims to identify a set of factors that can enhance and/or facilitate the collaboration relationship between the university and the software industry in a sustainable way, based on knowledge management. In line with the general objective three research questions were defined: (i) What are the main motivations that lead to the decision of establishing a collaboration relationship?; (ii) What are the management mechanisms used in the governance of collaboration relationships?; (iii) What are the principles and culture of knowledge management and of knowledge sharing in these organizations? In order to answer those questions and, consequently, achieve the general objective, an initial quantitative study based on a questionnaire was conducted. This study aims to explore and understand the practice of knowledge sharing and collaboration in the context of a university. Overall it was concluded that, knowledge sharing positively affects the collaboration behavior. The obtained results also showed that in order to promote and encourage knowledge sharing and, consequently, to foster collaboration relationships, it is important to work mechanisms based on intrinsic motivation and networking. Subsequently, it was conducted a qualitative study based on interviews in order to identify a set of factors that could enhance/facilitate the collaboration relationship between the university and the software industry in a sustainable way, based on knowledge management. Participants with complementary visions and different experiences in the two types of involved industries and simultaneously, with decisionmaking positions were interviewed. The results revealed that collaboration relationships established among these organizations are set-up only as a ‘connection’. This ‘connection’ is characterized by being a simple exchange, without building a sustainable collaboration relationship; although, those involved point to advantages in the existence of a sustainable collaboration relationship. The results also revealed that the collaboration relationships are usually conducted through informal communication channels, which makes it difficult to capture and disseminate knowledge to other remaining members of each involved organizations. In nutshell and in practical terms, this work contributes to the identification and analysis of a set of factors that enhance a collaboration relationship between university and software industry. This result can support organizations in the strategies definition for the development of actions, in order to promote a sustainable collaboration relationship. In theoretical terms, this work contributes to the increase of the body of knowledge in the area, with empirical results, since the literature point the lack of empirical studies as the main gap in this area of knowledge.",135568158,2,298,,
